,Scenario Name,Tools,Task Graphs
10,How to get in the car,"['approach the car', 'take out the key to the car', 'unlock the car door', 'grab onto the car door handle', 'pull the handle forward to open the door', ""bend down to sit in vehicle's seat"", 'close car door']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'approach the car'}, {'id': 'task_2', 'label': 'take out the key to the car'}, {'id': 'task_3', 'label': 'unlock the car door'}, {'id': 'task_4', 'label': 'grab onto the car door handle'}, {'id': 'task_5', 'label': 'pull the handle forward to open the door'}, {'id': 'task_6', 'label': ""bend down to sit in vehicle's seat""}, {'id': 'task_7', 'label': 'close car door'}], 'edges': [{'from': 'task_1', 'to': 'task_2'}, {'from': 'task_2', 'to': 'task_3'}, {'from': 'task_6', 'to': 'task_7'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_5', 'to': 'task_6'}, {'from': 'task_3', 'to': 'task_4'}]}}"
11,How to Play Funk Bass,"['Practice with a drummer, backing track, or metronome.', 'Make sure that you always hit a big note on the one.', 'Hit the one and the three in each bar to build a basic groove.', 'Fill in the gaps between the one and three to build out your lick.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Practice with a drummer, backing track, or metronome.'}, {'id': 'task_2', 'label': 'Make sure that you always hit a big note on the one.'}, {'id': 'task_3', 'label': 'Hit the one and the three in each bar to build a basic groove.'}, {'id': 'task_4', 'label': 'Fill in the gaps between the one and three to build out your lick.'}], 'edges': [{'from': 'task_4', 'to': 'task_1'}, {'from': 'task_2', 'to': 'task_1'}, {'from': 'task_3', 'to': 'task_4'}, {'from': 'task_3', 'to': 'task_2'}]}}"
12,How to Clean Chicken Livers,"['Lay out the livers.', 'Look for connective tissue.', 'Trim the meat away from the connective tissue.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Lay out the livers.'}, {'id': 'task_2', 'label': 'Look for connective tissue.'}, {'id': 'task_3', 'label': 'Trim the meat away from the connective tissue.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_1', 'to': 'task_2'}]}}"
13,How to Clean a Limestone Fireplace,"['Place towels at the foot of the fireplace.', 'Vacuum the fireplace.', 'Wipe the fireplace down with dry, microfiber cloth.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Place towels at the foot of the fireplace.'}, {'id': 'task_2', 'label': 'Vacuum the fireplace.'}, {'id': 'task_3', 'label': 'Wipe the fireplace down with dry, microfiber cloth.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_1', 'to': 'task_2'}]}}"
14,How to Make Your CV Sound More Impressive,"['Tailor the resume to the job.', 'Break the resume into subsections.', 'Prioritize key information.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Tailor the resume to the job.'}, {'id': 'task_2', 'label': 'Break the resume into subsections.'}, {'id': 'task_3', 'label': 'Prioritize key information.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_3', 'to': 'task_1'}]}}"
15,How to go to prom,"['find a nice suit', 'purchase nice suit', 'find where date is', 'figure out where event is', 'get in car to event', 'use map to get to event']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'find a nice suit'}, {'id': 'task_2', 'label': 'purchase nice suit'}, {'id': 'task_3', 'label': 'find where date is'}, {'id': 'task_4', 'label': 'figure out where event is'}, {'id': 'task_5', 'label': 'get in car to event'}, {'id': 'task_6', 'label': 'use map to get to event'}], 'edges': [{'from': 'task_1', 'to': 'task_2'}, {'from': 'task_2', 'to': 'task_3'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_5', 'to': 'task_6'}, {'from': 'task_3', 'to': 'task_4'}]}}"
16,How to get into better shape,"['go to google', 'search for a gym', 'go to the sign up page', 'sign up for the gym', 'pay the fee', 'go to the gym most days']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'go to google'}, {'id': 'task_2', 'label': 'search for a gym'}, {'id': 'task_3', 'label': 'go to the sign up page'}, {'id': 'task_4', 'label': 'sign up for the gym'}, {'id': 'task_5', 'label': 'pay the fee'}, {'id': 'task_6', 'label': 'go to the gym most days'}], 'edges': [{'from': 'task_1', 'to': 'task_2'}, {'from': 'task_2', 'to': 'task_3'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_5', 'to': 'task_6'}, {'from': 'task_3', 'to': 'task_4'}]}}"
17,How to Thumb Wrestle,"['Prepare the wrestling position.', 'Have the thumbs bow.', 'Begin the wrestle.', 'Pin down the thumb.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Prepare the wrestling position.'}, {'id': 'task_2', 'label': 'Have the thumbs bow.'}, {'id': 'task_3', 'label': 'Begin the wrestle.'}, {'id': 'task_4', 'label': 'Pin down the thumb.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_1', 'to': 'task_2'}, {'from': 'task_3', 'to': 'task_4'}]}}"
18,How to buy a computer game,"['Look at the computers games available.', 'Choose a game that looks interesting.', 'Take the game off of the shelf.', 'Take the game to the cashier.', 'Place the game on the counter.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Look at the computers games available.'}, {'id': 'task_2', 'label': 'Choose a game that looks interesting.'}, {'id': 'task_3', 'label': 'Take the game off of the shelf.'}, {'id': 'task_4', 'label': 'Take the game to the cashier.'}, {'id': 'task_5', 'label': 'Place the game on the counter.'}], 'edges': [{'from': 'task_3', 'to': 'task_4'}, {'from': 'task_1', 'to': 'task_2'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_2', 'to': 'task_3'}]}}"
19,How to Draw 3D Letters,"['Draw the stick figure of the letter W bubble letter.', 'Add the outline sketches for the bubble letter and fill in the basic color.', 'Add the highlight and shadows for the 3D effect.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Draw the stick figure of the letter W bubble letter.'}, {'id': 'task_2', 'label': 'Add the outline sketches for the bubble letter and fill in the basic color.'}, {'id': 'task_3', 'label': 'Add the highlight and shadows for the 3D effect.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_1', 'to': 'task_2'}]}}"
20,How to Make a Roux,"['Choose the fat you want to use.', 'Heat the fat in a skillet.', 'Add the flour.', 'Cook the roux.', 'Remove the roux from heat.', 'Store the roux.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Choose the fat you want to use.'}, {'id': 'task_2', 'label': 'Heat the fat in a skillet.'}, {'id': 'task_3', 'label': 'Add the flour.'}, {'id': 'task_4', 'label': 'Cook the roux.'}, {'id': 'task_5', 'label': 'Remove the roux from heat.'}, {'id': 'task_6', 'label': 'Store the roux.'}], 'edges': [{'from': 'task_4', 'to': 'task_5'}, {'from': 'task_1', 'to': 'task_2'}, {'from': 'task_2', 'to': 'task_3'}, {'from': 'task_3', 'to': 'task_4'}, {'from': 'task_5', 'to': 'task_6'}]}}"
21,How to make potato soup,"['find the recipe online', 'read the recipe', 'gather the ingredients', 'put together the ingredients', 'cook up the meal']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'find the recipe online'}, {'id': 'task_2', 'label': 'read the recipe'}, {'id': 'task_3', 'label': 'gather the ingredients'}, {'id': 'task_4', 'label': 'put together the ingredients'}, {'id': 'task_5', 'label': 'cook up the meal'}], 'edges': [{'from': 'task_3', 'to': 'task_4'}, {'from': 'task_1', 'to': 'task_2'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_2', 'to': 'task_3'}]}}"
22,How to do a handstand,"['stretch thoroughly, especially arms and legs', 'stand with legs apart', 'bend upper body forward', 'keep arms straight and touch palms to floor', 'kick one leg forward', 'straighten legs to point to ceiling']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'stretch thoroughly, especially arms and legs'}, {'id': 'task_2', 'label': 'stand with legs apart'}, {'id': 'task_3', 'label': 'bend upper body forward'}, {'id': 'task_4', 'label': 'keep arms straight and touch palms to floor'}, {'id': 'task_5', 'label': 'kick one leg forward'}, {'id': 'task_6', 'label': 'straighten legs to point to ceiling'}], 'edges': [{'from': 'task_1', 'to': 'task_2'}, {'from': 'task_2', 'to': 'task_3'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_5', 'to': 'task_6'}, {'from': 'task_3', 'to': 'task_4'}]}}"
23,How to Make an Octagon,"['Determine the side length of your octagon.', 'Use a ruler to draw a line of the length you decided upon.', 'Using a protractor, mark an angle 135 relative to your line.', 'Continue creating lines at 135 angles to the last line.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Determine the side length of your octagon.'}, {'id': 'task_2', 'label': 'Use a ruler to draw a line of the length you decided upon.'}, {'id': 'task_3', 'label': 'Using a protractor, mark an angle 135 relative to your line.'}, {'id': 'task_4', 'label': 'Continue creating lines at 135 angles to the last line.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_1', 'to': 'task_2'}, {'from': 'task_3', 'to': 'task_4'}]}}"
24,How to Make Mutton and Lotus Stem Curry,"['Clean and wash the mutton under running water.', 'Place the mutton pieces in a large frying pan.', 'Add turmeric powder to the mixture.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Clean and wash the mutton under running water.'}, {'id': 'task_2', 'label': 'Place the mutton pieces in a large frying pan.'}, {'id': 'task_3', 'label': 'Add turmeric powder to the mixture.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_1', 'to': 'task_2'}]}}"
25,How to go to the grocery store for some groceries,"['Create a shopping list', 'Drive to the store', 'Walk around the store', 'Put groceries in cart', 'Pay for the groceries', 'Pack groceries in a bag', 'Drive home with groceries']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Create a shopping list'}, {'id': 'task_2', 'label': 'Drive to the store'}, {'id': 'task_3', 'label': 'Walk around the store'}, {'id': 'task_4', 'label': 'Put groceries in cart'}, {'id': 'task_5', 'label': 'Pay for the groceries'}, {'id': 'task_6', 'label': 'Pack groceries in a bag'}, {'id': 'task_7', 'label': 'Drive home with groceries'}], 'edges': [{'from': 'task_1', 'to': 'task_2'}, {'from': 'task_2', 'to': 'task_3'}, {'from': 'task_6', 'to': 'task_7'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_5', 'to': 'task_6'}, {'from': 'task_3', 'to': 'task_4'}]}}"
26,How to dress as witches,"['get in the car', 'drive to a Halloween store', 'browse the witch gear section', 'pick an outfit', 'walk to the register', 'pay for the outfit', 'drive back home']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'get in the car'}, {'id': 'task_2', 'label': 'drive to a Halloween store'}, {'id': 'task_3', 'label': 'browse the witch gear section'}, {'id': 'task_4', 'label': 'pick an outfit'}, {'id': 'task_5', 'label': 'walk to the register'}, {'id': 'task_6', 'label': 'pay for the outfit'}, {'id': 'task_7', 'label': 'drive back home'}], 'edges': [{'from': 'task_1', 'to': 'task_2'}, {'from': 'task_2', 'to': 'task_3'}, {'from': 'task_6', 'to': 'task_7'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_5', 'to': 'task_6'}, {'from': 'task_3', 'to': 'task_4'}]}}"
27,How to go to new york,"['Turn on the computer', 'purchase a plane ticket', 'pack a suitcase', 'drive to the airport', 'find a parking spot', 'go thru security', 'check baggage at the gate']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Turn on the computer'}, {'id': 'task_2', 'label': 'purchase a plane ticket'}, {'id': 'task_3', 'label': 'pack a suitcase'}, {'id': 'task_4', 'label': 'drive to the airport'}, {'id': 'task_5', 'label': 'find a parking spot'}, {'id': 'task_6', 'label': 'go thru security'}, {'id': 'task_7', 'label': 'check baggage at the gate'}], 'edges': [{'from': 'task_1', 'to': 'task_2'}, {'from': 'task_2', 'to': 'task_3'}, {'from': 'task_6', 'to': 'task_7'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_5', 'to': 'task_6'}, {'from': 'task_3', 'to': 'task_4'}]}}"
28,How to Make a Den for a Mother Dog and Her Puppies,"['Drape a blanket over the den.', 'Provide plenty of materials for a nest.', 'Place pillows and blankets inside the den.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Drape a blanket over the den.'}, {'id': 'task_2', 'label': 'Provide plenty of materials for a nest.'}, {'id': 'task_3', 'label': 'Place pillows and blankets inside the den.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_3', 'to': 'task_1'}]}}"
29,How to do a mac & cheese,"['drive to the store', 'buy mac and cheese', 'drive back home', 'boil pot of water', 'boil macaroni noodles', 'drain macaroni noodles', 'add cheese and stir']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'drive to the store'}, {'id': 'task_2', 'label': 'buy mac and cheese'}, {'id': 'task_3', 'label': 'drive back home'}, {'id': 'task_4', 'label': 'boil pot of water'}, {'id': 'task_5', 'label': 'boil macaroni noodles'}, {'id': 'task_6', 'label': 'drain macaroni noodles'}, {'id': 'task_7', 'label': 'add cheese and stir'}], 'edges': [{'from': 'task_1', 'to': 'task_2'}, {'from': 'task_2', 'to': 'task_3'}, {'from': 'task_6', 'to': 'task_7'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_5', 'to': 'task_6'}, {'from': 'task_3', 'to': 'task_4'}]}}"
30,How to learn to brew beer,"['Research beer-making process on YouTube.', 'Order beer-making supplies from Amazon.', 'Wait for items to arrive.', 'Unpack and setup brewing equipment.', 'Follow beer recipe and add all ingredients.', 'Allow beer to ferment.', 'Bottle final product once brewed.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Research beer-making process on YouTube.'}, {'id': 'task_2', 'label': 'Order beer-making supplies from Amazon.'}, {'id': 'task_3', 'label': 'Wait for items to arrive.'}, {'id': 'task_4', 'label': 'Unpack and setup brewing equipment.'}, {'id': 'task_5', 'label': 'Follow beer recipe and add all ingredients.'}, {'id': 'task_6', 'label': 'Allow beer to ferment.'}, {'id': 'task_7', 'label': 'Bottle final product once brewed.'}], 'edges': [{'from': 'task_1', 'to': 'task_2'}, {'from': 'task_2', 'to': 'task_3'}, {'from': 'task_6', 'to': 'task_7'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_5', 'to': 'task_6'}, {'from': 'task_3', 'to': 'task_4'}]}}"
31,How to Make Chili Sauce,"['Put all of the ingredients into a saucepan.', 'Turn the burner to medium and bring the sauce to a simmer.', 'Simmer the uncovered sauce for 20 minutes.', 'Cool the sauce to room temperature.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Put all of the ingredients into a saucepan.'}, {'id': 'task_2', 'label': 'Turn the burner to medium and bring the sauce to a simmer.'}, {'id': 'task_3', 'label': 'Simmer the uncovered sauce for 20 minutes.'}, {'id': 'task_4', 'label': 'Cool the sauce to room temperature.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_1', 'to': 'task_2'}, {'from': 'task_3', 'to': 'task_4'}]}}"
32,How to deposit money into a savings account,"['Walk into the bank', 'Open up a savings account', 'Sign the account paperwork', 'Give money to the clerk to be deposited', 'Wait for the teller to run the deposit']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Walk into the bank'}, {'id': 'task_2', 'label': 'Open up a savings account'}, {'id': 'task_3', 'label': 'Sign the account paperwork'}, {'id': 'task_4', 'label': 'Give money to the clerk to be deposited'}, {'id': 'task_5', 'label': 'Wait for the teller to run the deposit'}], 'edges': [{'from': 'task_3', 'to': 'task_4'}, {'from': 'task_1', 'to': 'task_2'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_2', 'to': 'task_3'}]}}"
33,How to open up a convenience store,"[""Search out convenience store's for sale."", 'Decide on desired store.', 'Speak with owner.', 'Decide on price.', 'Travel to bank.', 'Put in loan application.', 'Wait for loan approval.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': ""Search out convenience store's for sale.""}, {'id': 'task_2', 'label': 'Decide on desired store.'}, {'id': 'task_3', 'label': 'Speak with owner.'}, {'id': 'task_4', 'label': 'Decide on price.'}, {'id': 'task_5', 'label': 'Travel to bank.'}, {'id': 'task_6', 'label': 'Put in loan application.'}, {'id': 'task_7', 'label': 'Wait for loan approval.'}], 'edges': [{'from': 'task_1', 'to': 'task_2'}, {'from': 'task_2', 'to': 'task_3'}, {'from': 'task_6', 'to': 'task_7'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_5', 'to': 'task_6'}, {'from': 'task_3', 'to': 'task_4'}]}}"
34,How to make the bed,"['decide to make the bed', 'walk to bedroom', 'walk over to the bed', 'take pillows off the bed', 'pick comforter up off the floor', 'put comforter on bed']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'decide to make the bed'}, {'id': 'task_2', 'label': 'walk to bedroom'}, {'id': 'task_3', 'label': 'walk over to the bed'}, {'id': 'task_4', 'label': 'take pillows off the bed'}, {'id': 'task_5', 'label': 'pick comforter up off the floor'}, {'id': 'task_6', 'label': 'put comforter on bed'}], 'edges': [{'from': 'task_1', 'to': 'task_2'}, {'from': 'task_2', 'to': 'task_3'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_5', 'to': 'task_6'}, {'from': 'task_3', 'to': 'task_4'}]}}"
35,How to Convert an Improper Fraction to Percent,"['Multiply the fraction by 100.', 'Divide the numerator by the denominator.', 'Add a percent sign.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Multiply the fraction by 100.'}, {'id': 'task_2', 'label': 'Divide the numerator by the denominator.'}, {'id': 'task_3', 'label': 'Add a percent sign.'}], 'edges': [{'from': 'task_2', 'to': 'task_1'}, {'from': 'task_1', 'to': 'task_3'}]}}"
36,How to Layer Cut Your Own Hair,"['Divide your hair into sections.', 'Trim the front top box.', 'Trim the front right section.', 'Trim the front left section.', 'Trim the back sections.', 'Comb your hair out and examine your layers.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Divide your hair into sections.'}, {'id': 'task_2', 'label': 'Trim the front top box.'}, {'id': 'task_3', 'label': 'Trim the front right section.'}, {'id': 'task_4', 'label': 'Trim the front left section.'}, {'id': 'task_5', 'label': 'Trim the back sections.'}, {'id': 'task_6', 'label': 'Comb your hair out and examine your layers.'}], 'edges': [{'from': 'task_4', 'to': 'task_6'}, {'from': 'task_1', 'to': 'task_4'}, {'from': 'task_1', 'to': 'task_2'}, {'from': 'task_1', 'to': 'task_3'}, {'from': 'task_1', 'to': 'task_5'}, {'from': 'task_2', 'to': 'task_6'}, {'from': 'task_3', 'to': 'task_6'}, {'from': 'task_5', 'to': 'task_6'}]}}"
37,How to Train Your First Falcon,"['Use a lure that resembles the game you intend to hunt.', 'Start by wiggling the lure a short distance away from your bird.', 'Increase the chase distance gradually.', 'Stop baiting the lure once your bird chases it reliably.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Use a lure that resembles the game you intend to hunt.'}, {'id': 'task_2', 'label': 'Start by wiggling the lure a short distance away from your bird.'}, {'id': 'task_3', 'label': 'Increase the chase distance gradually.'}, {'id': 'task_4', 'label': 'Stop baiting the lure once your bird chases it reliably.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_1', 'to': 'task_2'}, {'from': 'task_3', 'to': 'task_4'}]}}"
38,How to Calculate Amount of Paint to Paint a Room,"['Grab a paper, pencil, and a measuring tape.', 'Measure the height and length of each wall.', 'Multiply your heights and lengths to get the square footage, then convert to inches.', 'Add all of your square footages together to find the total.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Grab a paper, pencil, and a measuring tape.'}, {'id': 'task_2', 'label': 'Measure the height and length of each wall.'}, {'id': 'task_3', 'label': 'Multiply your heights and lengths to get the square footage, then convert to inches.'}, {'id': 'task_4', 'label': 'Add all of your square footages together to find the total.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_1', 'to': 'task_2'}, {'from': 'task_3', 'to': 'task_4'}]}}"
39,How to Make Beard Oil,"['Mix coconut oil and jojoba oil in a bottle.', 'Add sandalwood and supplemental essential oils to the base.', 'Stir the oils together in their container.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Mix coconut oil and jojoba oil in a bottle.'}, {'id': 'task_2', 'label': 'Add sandalwood and supplemental essential oils to the base.'}, {'id': 'task_3', 'label': 'Stir the oils together in their container.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_1', 'to': 'task_2'}]}}"
40,How to Build an Underground House,"['Develop detailed structural plans.', 'Design your house.', 'Include an entrance and exit in your design.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Develop detailed structural plans.'}, {'id': 'task_2', 'label': 'Design your house.'}, {'id': 'task_3', 'label': 'Include an entrance and exit in your design.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_3', 'to': 'task_1'}]}}"
