,Scenario Name,Tools,Task Graphs
11,How to Make a Smoothie Without Milk or Ice,"['Make a soy milk banana-blueberry smoothie.', 'Make a soy milk breakfast smoothie.', 'Make an almond milk summer smoothie.', 'Make a nut milk banana-bread smoothie.', 'Make a coconut milk strawberry-banana smoothie.', 'Make a juice-based strawberry-kiwi smoothie.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Make a soy milk banana-blueberry smoothie.'}, {'id': 2, 'label': 'Make a soy milk breakfast smoothie.'}, {'id': 3, 'label': 'Make an almond milk summer smoothie.'}, {'id': 4, 'label': 'Make a nut milk banana-bread smoothie.'}, {'id': 5, 'label': 'Make a coconut milk strawberry-banana smoothie.'}, {'id': 6, 'label': 'Make a juice-based strawberry-kiwi smoothie.'}], 'edges': []}}"
12,How to Travel to Russia,"['Visit both Moscow and St Petersburg for must-see experiences.', 'Go where Russians like to travel in Sochi and Lake Baikal.', 'Check out Vladivostok in Russia’s Far East.', 'Head off the beaten path to other great destinations.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Visit both Moscow and St Petersburg for must-see experiences.'}, {'id': 2, 'label': 'Go where Russians like to travel in Sochi and Lake Baikal.'}, {'id': 3, 'label': 'Check out Vladivostok in Russia’s Far East.'}, {'id': 4, 'label': 'Head off the beaten path to other great destinations.'}], 'edges': []}}"
13,How to Prevent a Campylobacter Infection,"['Look for diarrhea.', 'Watch for cramping.', 'Note any nausea.', 'Check for a fever.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Look for diarrhea.'}, {'id': 2, 'label': 'Watch for cramping.'}, {'id': 3, 'label': 'Note any nausea.'}, {'id': 4, 'label': 'Check for a fever.'}], 'edges': []}}"
14,How to Pass All Your GCSEs,"['Study English Language and Literature.', 'Study math.', 'Study the sciences.', 'Study religion, geography, and other information specific subjects.', 'Study history.', 'Study music.', 'Study creative subjects like art or design and technology.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Study English Language and Literature.'}, {'id': 2, 'label': 'Study math.'}, {'id': 3, 'label': 'Study the sciences.'}, {'id': 4, 'label': 'Study religion, geography, and other information specific subjects.'}, {'id': 5, 'label': 'Study history.'}, {'id': 6, 'label': 'Study music.'}, {'id': 7, 'label': 'Study creative subjects like art or design and technology.'}], 'edges': []}}"
15,How to Practice Color Theory,"['Associate different blues with a feeling of security.', 'Connect green hues with a sense of luck and harmony.', 'Generate positive, fun vibes with the color yellow.', 'Embrace originality and optimism with orange tones.', 'Demonstrate passion and excitement with the color red.', 'Associate calmness and intuition with pink.', 'Create an aura of fantasy and mystery with purple hues.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Associate different blues with a feeling of security.'}, {'id': 2, 'label': 'Connect green hues with a sense of luck and harmony.'}, {'id': 3, 'label': 'Generate positive, fun vibes with the color yellow.'}, {'id': 4, 'label': 'Embrace originality and optimism with orange tones.'}, {'id': 5, 'label': 'Demonstrate passion and excitement with the color red.'}, {'id': 6, 'label': 'Associate calmness and intuition with pink.'}, {'id': 7, 'label': 'Create an aura of fantasy and mystery with purple hues.'}], 'edges': []}}"
16,How to Use Alcohol to Treat a Cold,"['Make a hot toddy.', 'Mix a honey-ginger-lemon tonic and add some whiskey.', 'Make a cough syrup out of bourbon.', 'Try a gaelic punch.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Make a hot toddy.'}, {'id': 2, 'label': 'Mix a honey-ginger-lemon tonic and add some whiskey.'}, {'id': 3, 'label': 'Make a cough syrup out of bourbon.'}, {'id': 4, 'label': 'Try a gaelic punch.'}], 'edges': []}}"
17,How to Memorise the Locations of Countries on a World Map,"['Download geography apps.', 'Visit educational websites.', 'Decorate with wall maps.', 'Print out maps to color and study.', 'Work on a world map jigsaw puzzle.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Download geography apps.'}, {'id': 2, 'label': 'Visit educational websites.'}, {'id': 3, 'label': 'Decorate with wall maps.'}, {'id': 4, 'label': 'Print out maps to color and study.'}, {'id': 5, 'label': 'Work on a world map jigsaw puzzle.'}], 'edges': []}}"
18,How to Treat Boils at Home,"[""Reduce the boil's inflammation with witch hazel."", 'Kill the bacteria in the boil with tea tree oil.', ""Use arnica to reduce the boil's inflammation and swelling.""]","{'task_graph': {'nodes': [{'id': 1, 'label': ""Reduce the boil's inflammation with witch hazel.""}, {'id': 2, 'label': 'Kill the bacteria in the boil with tea tree oil.'}, {'id': 3, 'label': ""Use arnica to reduce the boil's inflammation and swelling.""}], 'edges': []}}"
19,How to Use Soy Sauce,"['Cover your rice-based dishes in soy sauce to top off your dish.', 'Douse noodle-based dishes in soy sauce.', 'Dip egg or spring rolls into soy sauce for added flavor.', 'Put soy sauce in salads to add richness and complexity to the dish.', 'Mix in soy sauce to create a flavorful barbeque sauce.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Cover your rice-based dishes in soy sauce to top off your dish.'}, {'id': 2, 'label': 'Douse noodle-based dishes in soy sauce.'}, {'id': 3, 'label': 'Dip egg or spring rolls into soy sauce for added flavor.'}, {'id': 4, 'label': 'Put soy sauce in salads to add richness and complexity to the dish.'}, {'id': 5, 'label': 'Mix in soy sauce to create a flavorful barbeque sauce.'}], 'edges': []}}"
20,How to Treat Your Depression With Magnesium,"['Try St John’s wort to help improve your depression.', 'Take fish oil to boost your omega-3 levels.', 'Increase your vitamin C to help reduce fatigue.', 'Try 5-Hydroxytryptophan (5-HTP) to help increase your serotonin levels.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Try St John’s wort to help improve your depression.'}, {'id': 2, 'label': 'Take fish oil to boost your omega-3 levels.'}, {'id': 3, 'label': 'Increase your vitamin C to help reduce fatigue.'}, {'id': 4, 'label': 'Try 5-Hydroxytryptophan (5-HTP) to help increase your serotonin levels.'}], 'edges': []}}"
21,How to Flush Salt Out of Your Body,"['Drink plenty of water.', 'Get fluids from other sources.', 'Minimize sports drinks.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Drink plenty of water.'}, {'id': 2, 'label': 'Get fluids from other sources.'}, {'id': 3, 'label': 'Minimize sports drinks.'}], 'edges': []}}"
22,How to Clean a Fiberglass Shower Floor,"['Treat tough soap scum with baking soda.', 'Use vinegar to remove stubborn grime.', 'Remove tough stains with hydrogen peroxide.', 'Try removing mildew stains with bleach.', 'Use oxalic acid for tough stains.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Treat tough soap scum with baking soda.'}, {'id': 2, 'label': 'Use vinegar to remove stubborn grime.'}, {'id': 3, 'label': 'Remove tough stains with hydrogen peroxide.'}, {'id': 4, 'label': 'Try removing mildew stains with bleach.'}, {'id': 5, 'label': 'Use oxalic acid for tough stains.'}], 'edges': []}}"
23,How to Get Inspired to Write,"['Try word association to get the ideas flowing.', 'Freewrite to generate ideas.', 'Listen to music to think of new ideas.', 'Use writing prompts to get you started.', 'Write about your hobbies and interests.', 'Reflect on a past memory or event for ideas.', 'Write from various perspectives, like animals and inanimate objects.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Try word association to get the ideas flowing.'}, {'id': 2, 'label': 'Freewrite to generate ideas.'}, {'id': 3, 'label': 'Listen to music to think of new ideas.'}, {'id': 4, 'label': 'Use writing prompts to get you started.'}, {'id': 5, 'label': 'Write about your hobbies and interests.'}, {'id': 6, 'label': 'Reflect on a past memory or event for ideas.'}, {'id': 7, 'label': 'Write from various perspectives, like animals and inanimate objects.'}], 'edges': []}}"
24,How to Watch for Common Senior Cat Health Issues,"['Look for signs of arthritis.', 'Observe your cat’s eating habits and check its teeth.', 'Check your cat’s eyes regularly.', 'Watch for signs of hyperthyroidism.', 'Look for signs of kidney disease.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Look for signs of arthritis.'}, {'id': 2, 'label': 'Observe your cat’s eating habits and check its teeth.'}, {'id': 3, 'label': 'Check your cat’s eyes regularly.'}, {'id': 4, 'label': 'Watch for signs of hyperthyroidism.'}, {'id': 5, 'label': 'Look for signs of kidney disease.'}], 'edges': []}}"
25,How to Serve Caviar,"['Serve caviar on blinis for a traditional dish.', 'Eat the caviar on toast points for a versatile base.', 'Present the caviar with plain bread to make a more filling dish.', 'Serve the caviar with crackers or crispbread for easy appetizers.', 'Serve the caviar with champagne for a luxurious pairing.', 'Have caviar with vodka for a traditional combination.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Serve caviar on blinis for a traditional dish.'}, {'id': 2, 'label': 'Eat the caviar on toast points for a versatile base.'}, {'id': 3, 'label': 'Present the caviar with plain bread to make a more filling dish.'}, {'id': 4, 'label': 'Serve the caviar with crackers or crispbread for easy appetizers.'}, {'id': 5, 'label': 'Serve the caviar with champagne for a luxurious pairing.'}, {'id': 6, 'label': 'Have caviar with vodka for a traditional combination.'}], 'edges': []}}"
26,How to Spot Signs of Nutritional Deficiency in Cats,"['Search for missing patches of fur.', 'Look at your cat’s skin.', 'Check your cat’s claws.', 'Watch your cat’s grooming habits.', 'Weigh your cat.', 'Check your cat’s gums.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Search for missing patches of fur.'}, {'id': 2, 'label': 'Look at your cat’s skin.'}, {'id': 3, 'label': 'Check your cat’s claws.'}, {'id': 4, 'label': 'Watch your cat’s grooming habits.'}, {'id': 5, 'label': 'Weigh your cat.'}, {'id': 6, 'label': 'Check your cat’s gums.'}], 'edges': []}}"
27,How to Use a Diary,"['Write down major life events in your diary.', 'Write down things about ordinary days.', 'Collect photos and keepsakes for your diary.', 'Write down your dreams in your diary.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Write down major life events in your diary.'}, {'id': 2, 'label': 'Write down things about ordinary days.'}, {'id': 3, 'label': 'Collect photos and keepsakes for your diary.'}, {'id': 4, 'label': 'Write down your dreams in your diary.'}], 'edges': []}}"
28,How to Manage Your Time in College,"['Start a study group.', 'Find a writing partner.', 'Set limits with your friends and roommates.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Start a study group.'}, {'id': 2, 'label': 'Find a writing partner.'}, {'id': 3, 'label': 'Set limits with your friends and roommates.'}], 'edges': []}}"
29,How to Treat Bacterial Vaginosis Naturally,"['Insert yogurt into your vagina to boost your level of good bacteria.', 'Wash your vaginal area with apple cider vinegar to kill bacteria.', 'Spray diluted tea tree oil onto your vaginal area to fight bacteria.', 'Cleanse with diluted hydrogen peroxide to kill bacteria.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Insert yogurt into your vagina to boost your level of good bacteria.'}, {'id': 2, 'label': 'Wash your vaginal area with apple cider vinegar to kill bacteria.'}, {'id': 3, 'label': 'Spray diluted tea tree oil onto your vaginal area to fight bacteria.'}, {'id': 4, 'label': 'Cleanse with diluted hydrogen peroxide to kill bacteria.'}], 'edges': []}}"
30,How to Make Homemade Plant Fertilizer,"['Use coffee grounds as a fertilizer.', 'Try using a seaweed fertilizer.', 'Make a banana fertilizer for your roses.', 'Make a good tomato feed.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Use coffee grounds as a fertilizer.'}, {'id': 2, 'label': 'Try using a seaweed fertilizer.'}, {'id': 3, 'label': 'Make a banana fertilizer for your roses.'}, {'id': 4, 'label': 'Make a good tomato feed.'}], 'edges': []}}"
31,How to Get over the Flu,"['Take a pain medication such as acetaminophen.', 'Use nasal sprays.', 'Try an antihistamine.', 'Use a cough syrup.', 'Try a multi-symptom medication.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Take a pain medication such as acetaminophen.'}, {'id': 2, 'label': 'Use nasal sprays.'}, {'id': 3, 'label': 'Try an antihistamine.'}, {'id': 4, 'label': 'Use a cough syrup.'}, {'id': 5, 'label': 'Try a multi-symptom medication.'}], 'edges': []}}"
32,How to Put a Bird On It,"['Put a bird on a teapot.', 'Put a bird on a tote bag.', 'Put a bird on a card.', 'Put a bird on toast.', 'Sew a bird right onto a pillow.', 'Paint a bird on a bird.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Put a bird on a teapot.'}, {'id': 2, 'label': 'Put a bird on a tote bag.'}, {'id': 3, 'label': 'Put a bird on a card.'}, {'id': 4, 'label': 'Put a bird on toast.'}, {'id': 5, 'label': 'Sew a bird right onto a pillow.'}, {'id': 6, 'label': 'Paint a bird on a bird.'}], 'edges': []}}"
33,"How to Get Big, Masculine Legs","['Try squats.', 'Include lunges.', 'Do deadlifts.', 'Include calf raises in your workout.', 'Strengthen your stabilizer muscles using exercise bands.', 'Do Swiss ball squeezes to work the inner thighs.', 'Use isolation movements to add tone.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Try squats.'}, {'id': 2, 'label': 'Include lunges.'}, {'id': 3, 'label': 'Do deadlifts.'}, {'id': 4, 'label': 'Include calf raises in your workout.'}, {'id': 5, 'label': 'Strengthen your stabilizer muscles using exercise bands.'}, {'id': 6, 'label': 'Do Swiss ball squeezes to work the inner thighs.'}, {'id': 7, 'label': 'Use isolation movements to add tone.'}], 'edges': []}}"
34,How to Stitch Plastic Canvas,"['Execute backstitches.', 'Create a continental stitch.', 'Generate a reverse continental stitch.', 'Produce a cross stitch.', 'Generate a long stitch.', 'Execute a running stitch.', 'Create a scotch stitch.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Execute backstitches.'}, {'id': 2, 'label': 'Create a continental stitch.'}, {'id': 3, 'label': 'Generate a reverse continental stitch.'}, {'id': 4, 'label': 'Produce a cross stitch.'}, {'id': 5, 'label': 'Generate a long stitch.'}, {'id': 6, 'label': 'Execute a running stitch.'}, {'id': 7, 'label': 'Create a scotch stitch.'}], 'edges': []}}"
35,How to Market a Kindle Book,"['Refrain from criticising your reviewers.', 'Remain above the trolls.', 'Check for free promotions and resources.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Refrain from criticising your reviewers.'}, {'id': 2, 'label': 'Remain above the trolls.'}, {'id': 3, 'label': 'Check for free promotions and resources.'}], 'edges': []}}"
36,How to Identify a Javanese Cat,"['Note friendliness with people.', 'See how easy it is to train.', 'Listen for a distinctive voice.', 'Watch for jumping.', 'Expect some mischief.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Note friendliness with people.'}, {'id': 2, 'label': 'See how easy it is to train.'}, {'id': 3, 'label': 'Listen for a distinctive voice.'}, {'id': 4, 'label': 'Watch for jumping.'}, {'id': 5, 'label': 'Expect some mischief.'}], 'edges': []}}"
37,How to Spot Eating Disorders in Men,"['Identify unhealthy eating patterns.', 'Look for significant weight loss.', 'Listen for a preoccupation with being thin.', 'Note a preoccupation with body image.', 'Watch for excessive exercising.', 'Identify the use of illegal or prescription drugs.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Identify unhealthy eating patterns.'}, {'id': 2, 'label': 'Look for significant weight loss.'}, {'id': 3, 'label': 'Listen for a preoccupation with being thin.'}, {'id': 4, 'label': 'Note a preoccupation with body image.'}, {'id': 5, 'label': 'Watch for excessive exercising.'}, {'id': 6, 'label': 'Identify the use of illegal or prescription drugs.'}], 'edges': []}}"
38,How to Wear Oxford Shoes,"['Pair the Oxfords with jeans and a T-shirt or sweater.', 'Wear sweatpants for an ultra casual style.', 'Choose denim shorts and a leather jacket for an edgy look.', 'Put on a shirtdress for a comfortable and cute style.', 'Wear a floral print calf-length dress for a retro look.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Pair the Oxfords with jeans and a T-shirt or sweater.'}, {'id': 2, 'label': 'Wear sweatpants for an ultra casual style.'}, {'id': 3, 'label': 'Choose denim shorts and a leather jacket for an edgy look.'}, {'id': 4, 'label': 'Put on a shirtdress for a comfortable and cute style.'}, {'id': 5, 'label': 'Wear a floral print calf-length dress for a retro look.'}], 'edges': []}}"
39,How to Use Pronouns,"['Ask questions with interrogative pronouns.', 'Refer to nouns with demonstrative pronouns.', 'Define nouns with relative pronouns.', 'Emphasize with intensive pronouns.', 'Show that the subject is also receiving the action with reflexive pronouns.', 'Indicate a general or non-specific object with indefinite pronouns.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Ask questions with interrogative pronouns.'}, {'id': 2, 'label': 'Refer to nouns with demonstrative pronouns.'}, {'id': 3, 'label': 'Define nouns with relative pronouns.'}, {'id': 4, 'label': 'Emphasize with intensive pronouns.'}, {'id': 5, 'label': 'Show that the subject is also receiving the action with reflexive pronouns.'}, {'id': 6, 'label': 'Indicate a general or non-specific object with indefinite pronouns.'}], 'edges': []}}"
40,How to Cope with Being Dumped for Someone Else,"['Exercise at least three times per week.', 'Meditate to clear your mind.', 'Eat healthy meals.', 'Get eight hours of sleep a night.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Exercise at least three times per week.'}, {'id': 2, 'label': 'Meditate to clear your mind.'}, {'id': 3, 'label': 'Eat healthy meals.'}, {'id': 4, 'label': 'Get eight hours of sleep a night.'}], 'edges': []}}"
41,How to Find Your Car in a Crowded Parking Lot,"['Take a photo or video of where you parked.', ""Use an app to pin and record your car's location."", 'Write down notes reminding you of where you parked.', ""Tell yourself where you've parked out loud.""]","{'task_graph': {'nodes': [{'id': 1, 'label': 'Take a photo or video of where you parked.'}, {'id': 2, 'label': ""Use an app to pin and record your car's location.""}, {'id': 3, 'label': 'Write down notes reminding you of where you parked.'}, {'id': 4, 'label': ""Tell yourself where you've parked out loud.""}], 'edges': []}}"
42,How to Know Which Fish to Put Together in a Tank,"['Look out for signs of fish stress.', 'Pay particular attention during fish spawning periods.', 'Recognize the unique challenges presented by “bully” species.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Look out for signs of fish stress.'}, {'id': 2, 'label': 'Pay particular attention during fish spawning periods.'}, {'id': 3, 'label': 'Recognize the unique challenges presented by “bully” species.'}], 'edges': []}}"
43,How to Play with a Chihuahua,"['Play hide and seek.', 'Teach your chihuahua to help clean up.', 'Have a tug-o-war with your chihuahua.', 'Get your chihuahua to play fetch.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Play hide and seek.'}, {'id': 2, 'label': 'Teach your chihuahua to help clean up.'}, {'id': 3, 'label': 'Have a tug-o-war with your chihuahua.'}, {'id': 4, 'label': 'Get your chihuahua to play fetch.'}], 'edges': []}}"
44,How to Choose the Right Cold Medicine,"['Choose a decongestant for a stuffy nose.', 'Use an antihistamine for allergies.', 'Use an expectorant for wet coughs.', 'Choose a pain reliever for fever and aches.', 'Try a cough suppressant for dry coughs.', 'Consider a combination medicine.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Choose a decongestant for a stuffy nose.'}, {'id': 2, 'label': 'Use an antihistamine for allergies.'}, {'id': 3, 'label': 'Use an expectorant for wet coughs.'}, {'id': 4, 'label': 'Choose a pain reliever for fever and aches.'}, {'id': 5, 'label': 'Try a cough suppressant for dry coughs.'}, {'id': 6, 'label': 'Consider a combination medicine.'}], 'edges': []}}"
45,How to Reduce Uric Acid Levels,"['Go for lean meats instead of fatty, purine-rich cuts.', 'Consume seafood in moderation.', 'Eat more complex carbs, such as fruits, veggies, and whole grains.', 'Limit your sugar intake.', 'Include low-fat dairy products in your diet.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Go for lean meats instead of fatty, purine-rich cuts.'}, {'id': 2, 'label': 'Consume seafood in moderation.'}, {'id': 3, 'label': 'Eat more complex carbs, such as fruits, veggies, and whole grains.'}, {'id': 4, 'label': 'Limit your sugar intake.'}, {'id': 5, 'label': 'Include low-fat dairy products in your diet.'}], 'edges': []}}"
46,How to Prevent a Car Fire,"['Watch for rapid changes in fuel or fluid levels.', 'Look for signs of an overheating engine.', 'Notice blown fuses.', 'Watch for cracked or loose wiring.', 'Listen for loud sounds in your exhaust.', 'Replace a missing oil or fuel cap.', 'Check for broken or missing hoses.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Watch for rapid changes in fuel or fluid levels.'}, {'id': 2, 'label': 'Look for signs of an overheating engine.'}, {'id': 3, 'label': 'Notice blown fuses.'}, {'id': 4, 'label': 'Watch for cracked or loose wiring.'}, {'id': 5, 'label': 'Listen for loud sounds in your exhaust.'}, {'id': 6, 'label': 'Replace a missing oil or fuel cap.'}, {'id': 7, 'label': 'Check for broken or missing hoses.'}], 'edges': []}}"
47,How to Add Cardio to Your Workout,"['Take a spinning class.', 'Enroll in a step class.', 'Sign up for a boot camp.', 'Take a water aerobics or water jogging class.', 'Try Zumba.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Take a spinning class.'}, {'id': 2, 'label': 'Enroll in a step class.'}, {'id': 3, 'label': 'Sign up for a boot camp.'}, {'id': 4, 'label': 'Take a water aerobics or water jogging class.'}, {'id': 5, 'label': 'Try Zumba.'}], 'edges': []}}"
